x	rectangular	rapezoidal	simpson	table_value	description
0	0	0	0	0	
0.1	0.112463	0.112463	0.112463	0	
0.2	0.222707	0.222703	0.222703	0	
0.3	0.328641	0.328627	0.328627	0	
0.4	0.428426	0.428392	0.428392	0	
0.5	0.520562	0.5205	0.5205	0.5205	
0.6	0.603958	0.603856	0.603856	0	
0.7	0.677954	0.677801	0.677801	0	
0.8	0.742314	0.742101	0.742101	0	
0.9	0.79719	0.796908	0.796908	0	
1	0.843057	0.842701	0.842701	0.842701	
1.1	0.880641	0.880205	0.880205	0	
1.2	0.910831	0.910314	0.910314	0	
1.3	0.934606	0.934008	0.934008	0	
1.4	0.952964	0.952285	0.952285	0	
1.5	0.966862	0.966105	0.966105	0.966105	
1.6	0.977181	0.976348	0.976348	0	
1.7	0.984696	0.98379	0.98379	0	
1.8	0.990066	0.98909	0.989091	0	
1.9	0.993833	0.99279	0.99279	0	
2	0.99643	0.995322	0.995322	0.995322	
2.1	0.998191	0.997021	0.997021	0	
2.2	0.999369	0.998137	0.998137	0	
2.3	1.00015	0.998857	0.998857	0	
2.4	1.00066	0.999311	0.999311	0	
2.5	1.001	0.999593	0.999593	0.999593	
2.6	1.00123	0.999764	0.999764	0	
2.7	1.00139	0.999866	0.999866	0	
2.8	1.0015	0.999925	0.999925	0	
2.9	1.00159	0.999959	0.999959	0	
3	1.00167	0.999978	0.999978	0.999978	
3.1	1.00174	0.999988	0.999988	0	
3.2	1.0018	0.999994	0.999994	0	
3.3	1.00186	0.999997	0.999997	0	
3.4	1.00192	0.999998	0.999998	0	
3.5	1.00197	0.999999	0.999999	1	
3.6	1.00203	1	1	0	
3.7	1.00209	1	1	0	
3.8	1.00214	1	1	0	
3.9	1.0022	1	1	0	
